year,executions,police_killings
2000,170,534.7496756446303
2001,104,570.6057232601083
2002,142,610.171017180636
2003,65,656.5365959937542
2004,59,641.6996107735563
2005,60,723.3030294846444
2006,53,785.1238012354687
2007,42,778.3235163428781
2008,37,751.7405844900236
2009,52,780.1781394954028
2010,46,802.4336173256995
2011,43,870.4364662516062
2012,43,916.8020450647246
2013,39,1077
2014,35,1040
2015,28,1103
2016,20,1067
2017,23,1104
2018,25,1151
2019,22,1116
2020,17,1159
2021,11,1190
2022,18,1269
2023,24,1358
2024,25,1369
